"隐藏","文件夹名","标题(日)","标题(英)","时间","类型","object","显示地址(英)","补充照片","段落(日)","段落(英)","显示名"
"","IMG_0975","落とし物かもしれない傘","Possibly a Dropped Umbrella","2026/07/02 19:56","unknown","translucent long umbrella","a parking lot beside Mibugawa-dōri near Shichijō, Shimogyo Ward, Kyoto","IMG_0970.jpeg","忘れられた傘かどうかは断定できない。普通なら、持ち主の傘であればハンドルに掛けるか自転車に載せておくはずだ。この傘は地面にも置かれず、自転車にも載っていない。駐輪場の脇にある狭く小さな段の上に、きれいに横たえて置かれていた。
今考えられる可能性は、誰かが駐輪場を離れるときに傘を落とし、別の誰かがそれを拾って段の上に置いた、というものだ。","I can't be sure whether this is a forgotten umbrella. Normally, if it belonged to a cyclist, it would be hung on the handlebar or left on the bike. This one was neither on the ground nor on a bicycle—it lay neatly across a narrow little step beside the bicycle parking area.
The most likely explanation is that someone dropped it as they left the parking area, and another person picked it up off the ground and set it on the step.",""
"","IMG_0981","","","2026/07/02 20:10","payment(behavior)","black long umbrella","a parking lot about 100 m south of the Ōishibashi intersection, Minami Ward, Kyoto","IMG_0978.jpeg","","",""
"","IMG_1014","","","2026/07/04 19:25","hookable(affordance)","transparent long umbrella","Matsunokicho danchi, Minami Ward, Kyoto","IMG_1016.jpeg","","",""
"","IMG_1068","","","2026/07/08 17:08","drop(behavior)","black long umbrella","Kyoto, Kyoto City, Shimogyo Ward","IMG_1067.jpeg","","",""
"","IMG_1102","","","2026/07/11 16:45","disposal(behavior)","translucent long umbrella","Kyoto, Kyoto City, Minami Ward","IMG_1101.jpeg","","",""
"","IMG_1105","忘れられた傘だと確認","Confirmed as a forgotten umbrella","2026/07/11 16:52","placement(behavior)","transparent long umbrella","Minami Ward Office bicycle parking, Minami Ward, Kyoto","IMG_1110.jpeg ; IMG_1113.jpeg","","",""
"","IMG_1244","","","2026/07/20 15:36","disposal(behavior)","long umbrella","Takase River area, Higashikujo Higashiiwamotocho, Minami Ward, Kyoto","IMG_1246.jpeg","","",""
"","IMG_1323","","","2026/05/31 22:24","drop(behavior)","transparent long umbrella","next to Lawson Karasuma-Fudanotsuji, Minami Ward, Kyoto","IMG_1322.jpeg","","",""
"","IMG_1369","","","2026/06/03 17:47","hookable(affordance)","transparent long umbrella","monthly parking lot near Kujo Kawaramachi bus stop, Minami Ward, Kyoto","","","",""
"","IMG_1382","","","2026/06/03 23:34","drop(behavior)","black long umbrella","in front of Chōjuin, Minami Ward, Kyoto","IMG_1385.jpeg","","",""
"","IMG_1391","","","2026/06/04 13:16","drop(behavior)","transparent long umbrella","the lawn in front of Building C, Kyoto City University of Arts, Shimogyo Ward, Kyoto","","","",""
"","IMG_1405","","","2026/06/04 14:05","corner(affordance)","green long umbrella, blue long umbrella","midway along the mountain trail of Fushimi Inari Taisha, Fushimi Ward, Kyoto","IMG_1407.jpeg","","",""
"","IMG_1417","","","2026/06/04 14:50","unknown","unknown","midway along the mountain trail of Fushimi Inari Taisha, Fushimi Ward, Kyoto","","","",""
"","IMG_1451","","","2026/06/09 16:39","hookable(affordance)","dark blue long umbrella","a pedestrian tunnel under the Tōkaidō Shinkansen tracks on the Tokyo-bound side of Kyoto Station, Shimogyo Ward, Kyoto","IMG_1456.jpeg ; IMG_1454.jpeg","","",""
"","IMG_5917","初回記録","First record","2025/03/03 17:39","restroom(place)","translucent long umbrella","B1F men's restroom, Tobu Department Store Ikebukuro, Ikebukuro, Toshima City, Tokyo","","これは、最初に記録を始めた「忘れられた傘」だ。
ただし、初めて見つけたものではない。以前から、同じに忘れられた傘を何度も目にしてきた。この傘を見たとき、その記憶がよみがえった。こういうものを記録してみるのも面白いかもしれないと思った。
それ以来、傘に目を留めて記録するようになった。","This is the first “forgotten umbrella” recorded in this project.
It is not the first one I encountered.Similar umbrellas had been observed repeatedly in various locations.This instance recalled those prior observations.It suggested the possibility of recording such occurrences.
From that point on, umbrellas became objects of attention and documentation.",""
"","IMG_5956","不自然な場所","Displaced Placement","2025/03/11 09:22","hookable(affordance)","transparent long umbrella","bicycle parking area, in front of Toshima City Ikebukuro Library, Ikebukuro, Toshima City, Tokyo","_______.png","その傘はフェンスの外側に掛けられていた。駐車場の外はすぐに自転車歩行者道になっている。なぜ外側に掛けられたのだろうか。駐車中に手を空けるためであれば、内側に掛ける方が自然に思える。
この駐車場は、入口の扉を鍵で開けて出入りする必要がある。そのため、解錠の際に一時的に掛けた可能性も考えられる。しかし、その場所は入口から約3メートル離れている。
そう考えると、どの可能性も高くはない。","The umbrella was hooked on the outside of the fence.Just beyond the parking lot is a shared bicycle and pedestrian path.Why was it placed on the outside?If it was to free one’s hands while parking, placing it inside would seem more natural.
Access to the parking lot requires unlocking the entrance gate with a key.It is therefore possible that the umbrella was hung there temporarily while unlocking it.However, the location is about three meters away from the entrance.
Considering this, that explanation also seems unlikely.",""
"","IMG_5958","","","2025/03/11 09:31","hookable(affordance)","transparent long umbrella","Ikebukuro Ohashi Street Art, Ikebukuro, Toshima City, Tokyo","","","",""
"","IMG_5964","","","2025/03/11 12:39","hookable(affordance)","transparent long umbrella","traffic signal, Ikebukuro Station East Exit (North), Ikebukuro, Toshima City, Tokyo","","","",""
"","IMG_6078","","","2025/03/19 20:21","corner(affordance)","transparent long umbrella","traffic signal, Mitake Park, Shibuya, Shibuya City, Tokyo","","","",""
"","IMG_6079","","","2025/03/19 22:54","payment(behavior)","transparent long umbrella","parking lot, 175 m west of the intersection of Tokiwa-dori and Theater Street, Ikebukuro, Toshima City, Tokyo","","","",""
"","IMG_6080","","","2025/03/19 22:57","hookable(affordance)","transparent long umbrella","parking lot, next to Tokyo Institute of Language, Japanese Language Center, Ikebukuro, Toshima City, Tokyo","","","",""
"","IMG_6178","","","2025/04/18 11:28","disposal(behavior)","transparent long umbrella","intersection 200 m northeast of Yax Drug Sakusabe, Sakusabe, Inage Ward, Chiba","","","",""
"","IMG_6220","","","2025/05/22 11:04","hookable(affordance)","black long umbrella","near Chiba Station North Exit bus stop, approx. 30 m, Benten, Chuo Ward, Chiba","","","",""
"","IMG_6225","","","2025/05/22 16:20","placement(behavior)","transparent long umbrella","Chiba Station Chiba Park Exit underground pedestrian tunnel, Benten, Chuo Ward, Chiba","","","",""
"","IMG_6260","地下通路の傘","Umbrella in the Underpass","2025/06/10 20:32","drop(behavior)","transparent long umbrella","Benten Underpass pedestrian walkway, Benten, Chuo Ward, Chiba","","その日は土砂降りの雨だった。地下道を歩いていると、曲がり角で一本の傘を見つけた。この傘が一体いつここに置き去りにされたのか、分からない。雨が降る前だったのだろうか。それとも、雨が降っている最中だったのだろうか。普通に考えれば、雨の最中に傘を手放すはずはないのだがい。","It was a torrential downpour that day. While walking through an underground passage, I came across an umbrella at a corner. It was impossible to tell exactly when it had been abandoned. Had it been left there before the rain started, or while it was still pouring? Logically speaking, one would not normally part with an umbrella in the middle of a heavy rain...",""
"","IMG_6341","","","2025/07/04 14:36","hookable(affordance)","transparent long umbrella","parking lot in front of Chiba Shinkin Bank Sakusabe Branch, Sakusabe, Inage Ward, Chiba","","","",""
"","IMG_6393","黒から白へ","From Black to White","2025/07/22 17:21","hookable(affordance)","black long umbrella","elevated railway underpass parking area, 200 m toward Chiba Station from Nishi-Chiba Station, Matsunami, Chuo Ward, Chiba","","この傘は、フェンスの内側に掛けられていた。随分と長い間にこに放置されていたことが見て取れる。元々は黒かったであろう傘の表面は、少し白っちゃけている。その上、高架下という場所柄、雨が直接当たることもないため、傘の上にはかなりの量の埃が積もっていた。","This umbrella was hung on the inner side of the fence. It was evident that It had been left there for quite a long time. The canopy, which must have been black originally, had faded to a dull, grayish white. Furthermore, because of its location beneath the elevated tracks, it was shielded from direct rain as a result, a thick layer of dust had accumulated on its surface.",""
"","IMG_6529","証明不能な連結 1","The Unverifiable Connection 1","2025/08/11 18:01","unknown","black long umbrella","fence of the Athletics Stadium, Chiba Prefectural General Sports Center, Tendaicho, Inage Ward, Chiba","_______.png","雨上がりの夕暮れ時、6529を見つけた。傘は落ち葉に半分埋もれ、その表面にはまだ濡れた雨粒が光っている。まるで落ち葉と共に路へ掃き寄せられたかのようだった。約一ヶ月後、再びこの道を通りかかった際、6529から70メートルほど離れた場所で別の黒い傘(6617)に遭遇した。その時は、二つの間に関連があるとはほども思わなかった。しかし、後に写真フォルダを整理していると、これらは同一の傘ではないかという疑念が浮かんだ。国道沿いのこの道は日中でも人通りが少なく。黒い傘が遺置される頻度も決して高くはないからだ。唯一の証拠となり得るのは6617の持ち手に貼られた番号シールだが、6529の撮影角度からは詳細を確認できず、今となっては同一性を証明する術は失われてしまった。","I discovered it at dusk after the rain (No: 6529). The umbrella was half buried in fallen leaves, with damp droplets still glistening on its surface, it appeared to have been swept to the roadside along with the debris. About a month later, walking the same route again, found another black umbrella (No. 6617) approximately 70 meters away from the first site. At the time, I didn't think there was any connection between them. Later, while organizing my photo gallery, realized they might be the same umbrella. This stretch of road lies along a national highway where pedestrians are scarce even during the day, making the frequency of abandoned black umbrellas relatively low. The only definitive clue is a numbered sticker on the handle of No. 6617. However, because the angle of the photo for No. 6529 obscures the handle, there is no longer any way to confirm with certainty whether they are the same object.",""
"","IMG_6530","","","2025/08/11 18:21","placement(behavior)","transparent long umbrella","bicycle parking area, Chigusadai danchi, Chigusadai, Inage Ward, Chiba","","","",""
"","IMG_6617","証明不能な連結 2","The Unverifiable Connection 2","2025/09/03 15:51","unknown","black long umbrella","fence of the Athletics Stadium, Chiba Prefectural General Sports Center, Tendaicho, Inage Ward, Chiba","_______.png","雨上がりの夕暮れ時、6529を見つけた。傘は落ち葉に半分埋もれ、その表面にはまだ濡れた雨粒が光っている。まるで落ち葉と共に路へ掃き寄せられたかのようだった。約一ヶ月後、再びこの道を通りかかった際、6529から70メートルほど離れた場所で別の黒い傘(6617)に遭遇した。その時は、二つの間に関連があるとはほども思わなかった。しかし、後に写真フォルダを整理していると、これらは同一の傘ではないかという疑念が浮かんだ。国道沿いのこの道は日中でも人通りが少なく。黒い傘が遺置される頻度も決して高くはないからだ。唯一の証拠となり得るのは6617の持ち手に貼られた番号シールだが、6529の撮影角度からは詳細を確認できず、今となっては同一性を証明する術は失われてしまった。","I discovered it at dusk after the rain (No: 6529). The umbrella was half buried in fallen leaves, with damp droplets still glistening on its surface, it appeared to have been swept to the roadside along with the debris. About a month later, walking the same route again, found another black umbrella (No. 6617) approximately 70 meters away from the first site. At the time, I didn't think there was any connection between them. Later, while organizing my photo gallery, realized they might be the same umbrella. This stretch of road lies along a national highway where pedestrians are scarce even during the day, making the frequency of abandoned black umbrellas relatively low. The only definitive clue is a numbered sticker on the handle of No. 6617. However, because the angle of the photo for No. 6529 obscures the handle, there is no longer any way to confirm with certainty whether they are the same object.",""
"","IMG_6637","忘れられた傘ではない","Not a Forgotten umbrella","2025/09/07 13:22","unknown","patterned long umbrella","shrubbery near the bicycle parking lot of L-Court Tendai, Tendai, Inage Ward, Chiba","_______.png","黒地に和柄の入った、一本の傘。黒い傘であることに加え、植え込みの小枝に隠されるように置かれていたため、道端に沿って歩いていなければ、見つけるのは難しかっただろう。こんなに綺麗でおしゃれな傘を、一体誰が、いつ、ここに置き去りにしたのだろうか。これほど目立たない場所だ。きっとこの先も長い間、この傘はここにあり続けるに違いない。と、思っていたのですが、およそ十日後、もう一度ここを通ったとき、気になって植え込みのあたりをよく見てみると、あの傘がなんと、自転車のハンドルにきちんとかけられていた。たぶん、あのときは風か何かのせいで、植え込みの中に落ちてしまったのでしょう。そこで私は、これが「忘れられた傘」ではないと判明した。","An umbrella with a Japanese pattern on a black background. Because of its dark color and the way it was tucked behind the twigs of a hedge, it would have been difficult to spot without walking directly along the edge of the path. One couldn't help but wonder who had left such a beautiful, stylish umbrella behind, and when. Given how hidden it was, I assumed It would remain there for a long time. However, when I passed by again about ten days later and checked the hedge out of curiosity, found the umbrella neatly hung on the handlebars of a bicycle. It seems it had likely fallen into the bushes due to the wind or some other factor that first time. At that moment, I realized this was not, in fact, a forgotten umbrella.",""
"","IMG_6643","","","2025/09/08 08:56","placement(behavior)","transparent long umbrella","bicycle parking area, Chigusadai danchi, Chigusadai, Inage Ward, Chiba","","","",""
"","IMG_6651","代表的トイレ型 1","Typical Restroom Type 1","2025/09/11 21:47","restroom(place)","black long umbrella","men's restroom inside the station, Nishi-Chiba Station, Chuo Ward, Chiba","_______.png","一般的に、小便器や洗面台のそばに置かれる傘(6651)に比べて、個室の中にある傘(6753)はそう簡単には忘れられないはずだ。というより、むしろ忘れること自体が難しい。というのも、手を洗ったり小便をしたりする場合と違って、トイレの個室では傘だけでなく、カバンや上看などの持ち物も一緒にフックに掛けることが多いからだ。用を足したあとには、持ち物と傘は一緒に持って出るのが普通だろう。それなのに、どういう状況で傘だけがここに取り残されたのだろうか。","Generally speaking, compared to umbrellas left near urinals or washbasins (6651), those found inside private stalls (6753) should not be so easily forgotten. In fact, forgetting them is inherently difficult. This is because, unlike the brief actions of washing one's hands of using a urinal, a private stall usually requires one to hang multiple belongings such as bags or coats on a hook alongside the umbrella. Once finished, the natural sequence is to retrieve all items together before exiting: Given this logic, under what specific circumstances could an umbrella alone end up abandoned here?",""
"","IMG_6660","秘密の投棄","The Secret Disposal","2025/09/24 13:31","disposal(behavior)","transparent long umbrella","garbage collection area, Lawson Inage Sakusabe, Sakusabe, Inage Ward, Chiba","_______.png","見つけたのは既に午後で、ゴミ収集の時間は過ぎていた。全は不燃ゴミの山の上に、ただ静かに横たわっていた。その様子から、ある光景が浮かぶ。収集車が去った後、まるで「泥棒」のようにアイマスクをした小人が、足音を潜めてここに現れ、この傘をこっそり置いていったのではないか。収集時間を逃した末の、滑稽な「秘密工作」の痕跡だ。","It was already afternoon when I found it, well past the collection time. The umbrella lay quietly atop a pile of non-burnable trash, looking somewhat out of place. The scene brings to mind a certain image: after the truck had gone, a small figure wearing an eyepatch—like a thief—sneaked over and quietly dropped the umbrella there. Having missed the official window, it was left behind as a remnant of this comical 'secret mission'.",""
"","IMG_6667","","","2025/10/01 11:55","placement(behavior)","transparent long umbrella","bicycle parking area, Chigusadai danchi, Inage Ward, Chiba","IMG_6780.jpeg","","",""
"","IMG_6720","","","2025/10/09 12:13","restroom(place)","transparent long umbrella","Chiba, Chiba City, Inage Ward","","","",""
"","IMG_6753","代表的トイレ型 2","Typical Restroom Type 2","2025/10/09 14:53","restroom(place)","transparent long umbrella","men's restroom inside Skip Tendai, Tendai, Inage Ward, Chiba","_______.png","一般的に、小便器や洗面台のそばに置かれる傘(6651)に比べて、個室の中にある傘(6753)はそう簡単には忘れられないはずだ。というより、むしろ忘れること自体が難しい。というのも、手を洗ったり小便をしたりする場合と違って、トイレの個室では傘だけでなく、カバンや上看などの持ち物も一緒にフックに掛けることが多いからだ。用を足したあとには、持ち物と傘は一緒に持って出るのが普通だろう。それなのに、どういう状況で傘だけがここに取り残されたのだろうか。","Generally speaking, compared to umbrellas left near urinals or washbasins (6651), those found inside private stalls (6753) should not be so easily forgotten. In fact, forgetting them is inherently difficult. This is because, unlike the brief actions of washing one's hands of using a urinal, a private stall usually requires one to hang multiple belongings such as bags or coats on a hook alongside the umbrella. Once finished, the natural sequence is to retrieve all items together before exiting: Given this logic, under what specific circumstances could an umbrella alone end up abandoned here?",""
"","IMG_6761","判断不能","Indeterminable","2025/10/09 21:19","unknown","patterned long umbrella","Sakusabe Park, Sakusabe, Inage Ward, Chiba","","この傘の状況は、まだはっきりとは確認できない。ポイントになるのは、傘の後ろにあるこのカートだ。もし傘とカートが一緒に置かれたものではないとすれば、この傘は「忘れられた傘」ということになる。しかし、もし傘がカートとともに意図的にここに置かれたのだとしたら、それは「忘れられた傘」ではなく、「放置された傘」と言えるだろう。
ただし、この傘はほどけたままの状態で置かれている。もしそれが「放置された傘」なのであれば普通はきちんと留めているはずで、ほどけたまま放置されることは考えにくい。","The exact status of this umbrella remains unclear. The key factor is the cart positioned behind it. If the umbrella and the cart were not placed there together, it would be classified as a 'forgotten umbrella.' However, if it was intentionally placed there along with the cart, it would be considered 'abandoned' rather than 'forgotten.' 
Notably, the umbrella was left unfurled. If it were truly abandoned, one would typically expect it to be neatly folded; it is unlikely that an umbrella would be left abandoned in such a disheveled state.",""
"","IMG_6774","幸運な傘","The Lucky Umbrella","2025/10/09 15:30","hookable(affordance)","transparent long umbrella","entrance area of Chigusadai danchi, Chigusadai, Inage Ward, Chiba","_______.png","この傘は、私が毎日通る道の途中に現れた。きっと誰かが、何かの理由で、うっかりここに置き忘れたのだろう。でも、この傘はきっと幸運だった。私がそれを見たのは午後三時頃。スーパーで買い物をして。五時過ぎに同じ道を通ったときには、もうその傘はなかった。きっとその二時間のあいだに、持ち主が「思い出して取りに戻ったのだと思う。","This umbrella was left along a path I walk every day, likely forgotten by someone passing through. It was there when I passed by around 3:00 PM, but by the time I returned from the supermarket after 5:00 PM, it was gone. It appears the owner remembered the umbrella and retrieved it within that two-hour window.",""
"","IMG_6781","","","2025/10/09 15:36","hookable(affordance)","transparent long umbrella","parking lot along the outer perimeter, Chigusadai danchi, Chigusadai, Inage Ward, Chiba","","","",""
"","IMG_6791","","","2025/10/10 15:52","hookable(affordance)","black long umbrella","near the main gate, Chiba Keizai University, Todorokicho, Inage Ward, Chiba","","","",""
"","IMG_6838","台風の日々","Typhoon Days","2025/10/16 12:11","drop(behavior)","black long umbrella","around Science Building No.4, Nishi-Chiba Campus, Chiba University, Inage Ward, Chiba","______.png","この傘は建物の外壁のそばにひっくり返っている。傘が開いたまま外側に戻り返っていて、中には枯れ葉が厚く積もっている。傘の古びた様子や落ち葉の厚さから見て、ここにかなりの期間置かれているのは明らかだ。これは台風の日の物語かもしれない。風で傘が裏返って手から離れ、強風に煽られて壁際まで飛ばされ、ここに留まったのだろう。季節が移り変わるにつれて、枯れ葉がその凹みを埋めていき、最終的に風景の一部になったのだ。","This umbrella lies overturned next to the exterior wall of the building. The canopy is open and inverted, with a thick layer of dead leaves accumulated inside. Judging by the weathered state of the fabric and the depth of the leaves, it has clearly been here for a long time. This might be a story from a typhoon. The umbrella was flipped inside out and blown from the owner's hand, swept by strong winds until it came to rest against the wall. As the seasons passed, falling leaves gradually filled the hollow, eventually making it part of the environment.",""
"","IMG_6848","","","2025/10/16 12:41","hookable(affordance)","transparent long umbrella","Chigusadai-shita bus stop, Chigusadai, Inage Ward, Chiba","","","",""
"","IMG_6859","","","2025/10/16 12:55","disposal(behavior)","unknown","garbage collection area outside a residence in Tondai-cho, Wakaba Ward, Chiba","","","",""
"","IMG_6867","","","2025/10/16 13:01","drop(behavior)","transparent long umbrella","grassy area outside Mitsuwadai Prefectural Housing, Mitsuwadai, Wakaba Ward, Chiba","IMG_6868.jpeg","","",""
"","IMG_6872","荷運びの余留","Remnant of Transport","2025/10/16 13:05","corner(affordance)","black long umbrella","Casa Mitsuwadai J Housing, Mitsuwadai, Wakaba Ward, Chiba","________.png","この傘はマンションの入り口横の角に置かれている。目の前はそのマンションの駐車場だ。位置から判断すると、重い荷物を運ぶ際に両手を空けるため、一時的に角に立てかけたと考えられる。しかし、荷物を運び終えて車で出発する時に傘の存在を忘れ、そのまま角に置き去りにされたのだ。","This umbrella is leaning against the corner near the apartment entrance. Directly in front is the building's parking space. Based on the position, it is likely the owner leaned the umbrella there to free up their hands while moving heavy items. However, after finishing the task and preparing to drive away, they forgot the umbrella and left it behind in the corner.",""
"","IMG_6882","","","2025/10/16 13:07","drop(behavior)","transparent long umbrella","parking lot outside Mitsuwadai 2-chome Park, Mitsuwadai, Wakaba Ward, Chiba","","","",""
"","IMG_6888","","","2025/10/16 13:08","hookable(affordance)","black long umbrella","Kokoku Parking near Mitsuwadai Station, Mitsuwadai, Wakaba Ward, Chiba","","","",""
"","IMG_6889","","","2025/10/16 13:32","drop(behavior)","transparent long umbrella","near Chiba Bank, Mitsuwadai Station, Mitsuwadai, Wakaba Ward, Chiba","IMG_6890.jpeg","","",""
"","IMG_6895","","","2025/10/16 14:07","disposal(behavior)","unknown","parking lot in Tondai-cho, Wakaba Ward, Chiba","IMG_6899.jpeg","","",""
"","IMG_6931","","","2025/10/20 12:47","disposal(behavior)","transparent long umbrella","bench at Nishi-Chiba Station North Exit bus stop Lane 2, Nishi-Chiba Station, Chuo Ward, Chiba","","","",""
"","IMG_6937","","","2025/10/23 10:25","payment(behavior)","transparent long umbrella","payment machine at Nishi-Chiba Station North Exit bicycle parking lot, Nishi-Chiba Station, Chuo Ward, Chiba","","","",""
"","IMG_6942","","","2025/10/23 16:10","drop(behavior)","blue folding","sidewalk outside the construction site, Chiba University Nishi-Chiba Campus, Inage Ward, Chiba","","","",""
"","IMG_7038","","","2025/10/31 14:30","drop(behavior)","transparent long umbrella","parking lot inside the North Gate, Chiba University Nishi-Chiba Campus, Inage Ward, Chiba","","","",""
"","IMG_7106","","","2025/11/18 14:51","drop(behavior)","blue long umbrella","vacant lot in Sakusabe, Inage Ward, Chiba","IMG_7108.jpeg ; IMG_7109.jpeg","","",""
"","IMG_7171","","","2025/11/27 15:38","disposal(behavior)","transparent long umbrella","roadway outside Chiba City Tsuga Junior High School, Sakusabecho, Inage Ward, Chiba","","","",""
"","IMG_8015","","","2026/02/15 14:39","drop(behavior)","black folding","lawn area within Chigusadai danchi, Chigusadai, Inage Ward, Chiba","","","",""
"","IMG_8056","廃棄の四重奏","Four Variations of Abandonment","2026/02/25 16:59","disposal(behavior)","black long umbrella, dark red long umbrella, floral long umbrella, long umbrella","recyclable waste collection point within Chigusadai danchi, Chigusadai, Inage Ward, Chiba","________.png","","",""
"","IMG_8062","","","2026/02/25 22:08","placement(behavior)","green long umbrella","350 m along Chiba Urban Monorail Line 2, from Dobutsu-Koen Station toward Mitsuwadai, Genkicho, Wakaba Ward, Chiba","IMG_8060.jpeg","","",""
"","IMG_8066","","","2026/02/25 22:36","restroom(place)","black folding","men's restroom inside the station, Tsuga Station, Wakaba Ward, Chiba","","","",""
"","IMG_8114","","","2026/02/27 14:34","drop(behavior)","translucent long umbrella","Keihan Kokudo-guchi intersection, Minami Ward, Kyoto","","","",""
"","IMG_8208","","","2026/03/05 16:13","transit(place)","two transparent long umbrella","Nishioji Shichijo bus stop, Shimogyo Ward, Kyoto","","","",""
"","IMG_8229","拾えない脱落","The Irretrievable Drop","2026/03/08 17:19","drop(behavior)","black long umbrella","near the traffic signal in front of Joshin Fushimi, Shimotoba Kitanokuchi-cho, Fushimi Ward, Kyoto","________.png","伏見区の大きな交差点、広いアスファルトの道路中央に一本の黒い傘が横たわっている。壁やフェンスに置かれたものとは違い、これは車両が行き交う動的な経路の中に位置する。走行中の車両から滑り落ちたその瞬間、たとえ気づいたとしても、激しい車流の中で止まって拾い上げることは不可能だ。持ち主はそのまま進むしかなかった。これは、環境によって強いられた「断念」である。白い線の傍らで、それは静止した異物として残された。","A single black umbrella lies in the middle of a wide asphalt road at a large intersection in Fushimi Ward. Unlike those leaned against walls or hung on fences, this one sits within a dynamic path of traffic. It slipped off a moving vehicle, even if the owner noticed the drop, the pressure of the constant traffic made it impossible to stop and retrieve it. They had no choice but to keep moving-a forced abandonment. Resting beside the white road markings, it remains as a static anomaly amidst the flow.",""
"","IMG_8302","","","2026/04/02 19:14","corner(affordance)","transparent long umbrella","near the traffic signal in front of The Reign Hotel Kyoto, Minami Ward, Kyoto","","","",""
"","IMG_8317","","","2026/04/05 16:14","disposal(behavior)","two transparent long umbrella","garbage collection area at Matsunoki-cho danchi Complex, Minami Ward, Kyoto","","","",""
